S.No.,GSTIN,Supplier Name,Export Invoice Number ,Export Date ,Export Value, GSTR 2B , Taxable Value as per GSTR 2B ,Category of Input Supplies,HSN/SAC,CGST Amount,SGST Amount,IGST Amount,Cess, Eligible for ITC ,3B Month
75,24BYNPP2593M1ZO,AKSHARDEEP INC,316,3/26/2024,4126,4126,4126, Input Services ,998873,371.3,371.3,0,, Yes ,Oct-22
76,24BYNPP2593M1ZO,AKSHARDEEP INC,318,3/26/2024,9156,9156,9156, Input Services ,998873,824.04,824.04,0,, Yes ,Oct-22
77,24BYNPP2593M1ZO,AKSHARDEEP INC,319,3/26/2024,9156,9156,9156, Input Services ,998873,824.04,824.04,0,, Yes ,Oct-22
78,24BYNPP2593M1ZO,AKSHARDEEP INC,320,3/26/2024,9156,9156,9156, Input Services ,998873,824.04,824.04,0,, Yes ,Oct-22
79,24BYNPP2593M1ZO,AKSHARDEEP INC,324,3/26/2024,9496,9496,9496, Input Services ,998873,854.6,854.6,0,, Yes ,Oct-22
80,24BYNPP2593M1ZO,AKSHARDEEP INC,329,3/26/2024,34366,34366,34366, Input Services ,998873,3092.94,3092.94,0,, Yes ,Oct-22
81,24BYNPP2593M1ZO,AKSHARDEEP INC,330,3/26/2024,17183,17183,17183, Input Services ,998873,1546.47,1546.47,0,, Yes ,Oct-22
82,24BYNPP2593M1ZO,AKSHARDEEP INC,331,3/26/2024,8592,8592,8592, Input Services ,998873,773.24,773.24,0,, Yes ,Oct-22
83,24AABFA9156C1ZU,AKSHAY SHAH & CO.,644,3/1/2024,3000,3000,3000, Input Services ,998221,270,270,0,, Yes ,Oct-22
84,24DLAPM9415B1ZG,AKTA TIMBERS,159,3/4/2024,13000,13000,13000, Inputs ,4415,780,780,0,, Yes ,Oct-22
85,24DLAPM9415B1ZG,AKTA TIMBERS,161,3/9/2024,15600,15600,15600, Inputs ,4415,936,936,0,, Yes ,Oct-22
86,24DLAPM9415B1ZG,AKTA TIMBERS,168,3/23/2024,13000,13000,13000, Inputs ,4415,780,780,0,, Yes ,Oct-22
87,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011276,3/1/2024,38000,38000,38000, Input Services ,996521,3420,3420,0,, Yes ,Oct-22
88,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011277,3/1/2024,38000,38000,38000, Input Services ,996521,3420,3420,0,, Yes ,Oct-22
89,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011278,3/1/2024,26675,26675,26675, Input Services ,996521,2400.75,2400.75,0,, Yes ,Oct-22
90,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011279,3/1/2024,19775,19775,19775, Input Services ,996521,1779.75,1779.75,0,, Yes ,Oct-22
91,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011280,3/1/2024,22075,22075,22075, Input Services ,996521,1986.75,1986.75,0,, Yes ,Oct-22
92,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011281,3/1/2024,15175,15175,15175, Input Services ,996521,1365.75,1365.75,0,, Yes ,Oct-22
93,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011282,3/1/2024,17475,17475,17475, Input Services ,996521,1572.75,1572.75,0,, Yes ,Oct-22
94,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011283,3/1/2024,38000,38000,38000, Input Services ,996521,3420,3420,0,, Yes ,Oct-22
95,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011284,3/1/2024,17475,17475,17475, Input Services ,996521,1572.75,1572.75,0,, Yes ,Oct-22
96,24AACCA2894D1ZY,ALLCARGO GLOBAL LOGISTICS LTD,BRCOTI230011285,3/1/2024,26675,26675,26675, Input Services ,996521,2400.75,2400.75,0,, Yes ,Oct-22
97,24ACCFA3978M1Z2,ALPHA TECH SOLUTIONS,ATS/SALE/41,3/4/2024,65100,65100,65100, Inputs ,84661010,5859,5859,0,, Yes ,Oct-22
98,24AKNPP5331L1ZT,AMBICA ENGINEERING WORKS,957/2023-24,3/14/2024,4000,4000,4000, Inputs ,4906,360,360,0,, Yes ,Oct-22
99,24AAFHN1082G1ZG,AMBICA METAL LABELS &  STICKERS,2095,3/19/2024,1500,1500,1500, Inputs ,83100010,135,135,0,, Yes ,Oct-22
100,24AAFHN1082G1ZG,AMBICA METAL LABELS &  STICKERS,2102,3/20/2024,510,510,510, Inputs ,83100010,45.9,45.9,0,, Yes ,Oct-22
101,24AAFHN1082G1ZG,AMBICA METAL LABELS &  STICKERS,2103,3/20/2024,750,750,750, Inputs ,83100010,67.5,67.5,0,, Yes ,Oct-22
102,24AAFHN1082G1ZG,AMBICA METAL LABELS &  STICKERS,2104,3/20/2024,750,750,750, Inputs ,83100010,67.5,67.5,0,, Yes ,Oct-22
103,24AAFHN1082G1ZG,AMBICA METAL LABELS &  STICKERS,2109,3/21/2024,450,450,450, Inputs ,83100010,40.5,40.5,0,, Yes ,Oct-22
104,24AAFHN1082G1ZG,AMBICA METAL LABELS &  STICKERS,2126,3/26/2024,1250,1250,1250, Inputs ,83100010,112.5,112.5,0,, Yes ,Oct-22
105,27AAKCA4057E1ZR,AMRIT POLYCHEM PVT LTD,M03849,3/7/2024,1950000,1950000,1950000, Inputs ,29291010,0,0,351000,, Yes ,Oct-22
106,27AAKCA4057E1ZR,AMRIT POLYCHEM PVT LTD,M03928,3/14/2024,1950000,1950000,1950000, Inputs ,29291010,0,0,351000,, Yes ,Oct-22
107,24AEIPR9656K1ZR,AMRUT POLYTARP,1457,3/13/2024,1668,1668,1668, Inputs ,39239090,150.1,150.1,0,, Yes ,Oct-22
108,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI003/2023-24,3/23/2024,244490,244490,244490, Inputs ,85043100,22004.1,22004.1,0,, Yes ,Oct-22
109,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI004/2023-24,3/23/2024,262855,262855,262855, Inputs ,85043100,23656.95,23656.95,0,, Yes ,Oct-22
110,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI005/2023-24,3/23/2024,226057,226057,226057, Inputs ,85043100,20345.13,20345.13,0,, Yes ,Oct-22
111,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI006/2023-24,3/23/2024,173597,173597,173597, Inputs ,85043100,15623.73,15623.73,0,, Yes ,Oct-22
112,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI007/2023-24,3/23/2024,188483,188483,188483, Inputs ,85043100,16963.47,16963.47,0,, Yes ,Oct-22
113,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI008/2023-24,3/23/2024,275908,275908,275908, Inputs ,85043100,24831.72,24831.72,0,, Yes ,Oct-22
114,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI009/2023-24,3/23/2024,513496,513496,513496, Inputs ,85043100,46214.64,46214.64,0,, Yes ,Oct-22
115,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI010/2023-24,3/23/2024,464462,464462,464462, Inputs ,85043100,41801.58,41801.58,0,, Yes ,Oct-22
116,24AAMCA2064P1ZD,AMTRAN MAGNETICS PVT LTD,SI011/2023-24,3/23/2024,313316,313316,313316, Inputs ,85043100,28198.44,28198.44,0,, Yes ,Oct-22
117,24FKUPS2994J1Z3,ANAND CHIRAG SHAH,13/23-24,3/1/2024,52500,52500,52500, Input Services ,997212,4725,4725,0,, Yes ,Oct-22
118,24FKUPS2994J1Z3,ANAND CHIRAG SHAH,14/23-24,3/1/2024,400000,400000,400000, Input Services ,997212,36000,36000,0,, Yes ,Oct-22
119,24ACTPP2635B1ZO,ANKIT ENTERPRISE,168,3/12/2024,2970,#N/A,#N/A, Inputs ,73141200,267.3,267.3,0,, Yes ,Oct-22
